CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12429,0.0,5,3735.51,5,4,5,545,Champions
12481,0.0,6,6765.07,5,4,5,545,Champions
12494,0.0,3,626.77,5,3,3,533,Loyal
12621,0.0,16,11086.14,5,5,5,555,Champions
12682,0.0,23,11745.69,5,5,5,555,Champions
12683,0.0,8,4220.21,5,5,5,555,Champions
12712,0.0,10,2797.53,5,5,5,555,Champions
12748,0.0,144,22879.66,5,5,5,555,Champions
12755,0.0,10,5218.71,5,5,5,555,Champions
12797,0.0,2,552.08,5,2,3,523,New Customers
12826,0.0,6,1481.03,5,4,4,544,Champions
12872,0.0,11,3085.52,5,5,5,555,Champions
12942,0.0,1,258.75,5,1,2,512,New Customers
12963,0.0,5,1744.96,5,4,4,544,Champions
13090,0.0,13,5192.27,5,5,5,555,Champions
13102,0.0,14,5272.83,5,5,5,555,Champions
13117,0.0,12,1658.9,5,5,4,554,Champions
13230,0.0,17,3553.81,5,5,5,555,Champions
13240,0.0,5,1074.87,5,4,4,544,Champions
13319,0.0,34,11236.95,5,5,5,555,Champions
13327,0.0,14,6251.71,5,5,5,555,Champions
13369,0.0,1,308.28,5,1,2,512,New Customers
13854,0.0,15,4144.44,5,5,5,555,Champions
13969,0.0,18,4311.93,5,5,5,555,Champions
13982,0.0,6,2573.78,5,4,5,545,Champions
14031,0.0,27,23712.31,5,5,5,555,Champions
14243,0.0,8,4842.28,5,5,5,555,Champions
14299,0.0,19,10533.87,5,5,5,555,Champions
14355,0.0,3,840.05,5,3,3,533,Loyal
14437,0.0,5,895.84,5,4,3,543,Loyal
14440,0.0,9,4281.05,5,5,5,555,Champions
14479,0.0,3,982.86,5,3,3,533,Loyal
14527,0.0,69,19283.48,5,5,5,555,Champions
14667,0.0,31,12685.94,5,5,5,555,Champions
14702,0.0,13,3462.08,5,5,5,555,Champions
14713,0.0,11,2752.51,5,5,5,555,Champions
14896,0.0,7,1623.65,5,5,4,554,Champions
14911,0.0,205,152147.57,5,5,5,555,Champions
14932,0.0,2,666.13,5,2,3,523,New Customers
14987,0.0,7,1387.45,5,5,4,554,Champions
15079,0.0,8,2871.74,5,5,5,555,Champions
15192,0.0,3,937.07,5,3,3,533,Loyal
15211,0.0,1,383.07,5,1,2,512,New Customers
